colegio,lon,lat
Institucion Educativa Distrital La Salle,-74.81150,10.96820
Instituto Distrital Tecnico Meira Del Mar,-74.80490,10.95770
Institucion Educativa Distrital Antonio Jose De Sucre,-74.78890,10.99790
Institucion Educativa Distrital La Milagrosa Fe Y Alegria,-74.82650,10.94660
Institucion Educativa Distrital Del Desarrollo Humano Y Cultural Del Caribe,-74.79250,11.00620
Institucion Educativa Distrital Sarid Arteta De Vasquez,-74.78820,10.98020
Institucion Distrital De Formacion Tecnica Diversificada Alberto Assa,-74.83190,10.94830
Institucion Educativa Distrital Etnoeducativo Paulino Salgado  Batata,-74.82000,10.96940
Institucion Educativa Distrital Las Americas,-74.81250,10.94470
Institucion Educativa Distrital Brisas Del Rio,-74.76650,10.95800
Institucion Educativa Distrital La Merced,-74.79980,10.97700
Institucion Educativa Distrital Inmaculada Concepcion,-74.88220,10.99940
Institucion Educativa Distrital Luz Del Caribe,-74.78000,10.94620
Institucion Educativa Distrital El Silencio,-74.80840,10.99090
Institucion Educativa Distrital Camilo Torres Tenorio,-74.79500,10.97890
Institucion Educativa Distrital El Paraiso,-74.80540,11.01570
Institucion Educativa Distrital Comunitario Octavio Paz,-74.79640,10.92990
Colegio Comunitario Distrital Villa Del Carmen,-74.79210,10.93490
Institucion Educativa Distrital Costa Caribe,-74.83080,10.93250
Institucion Educativa Distrital El Campito,-74.79360,10.94870
Colegio Distrital Juan Jose Rondon,-74.80820,10.97430
Institucion Educativa Distrital Jorge Robledo Ortiz,-74.82170,10.92500
Institucion Educativa Distrital Tierra Santa,-74.81430,10.94980
Institucion Educativa Distrital Evaristo Sourdis,-74.82070,10.95690
Instituto Tecnico De Comercio Barranquilla,-74.78740,10.98300
Institucion Educativa Distrital Comunitaria Metropolitana,-74.80500,10.95040
Institucion Educativa Distrital La Presentacion,-74.84970,10.97380
Institucion Educativa Distrital Jose Antonio Galan,-74.78520,10.96450
Institucion Educativa El Corazon Del Santuario,-74.80510,10.94420
Centro De Educacion Basica Y Media 103,-74.80210,10.95410
Institucion Educativa Distrital La Esperanza Del Sur,-74.82540,10.95320
Institucion Educativa Distrital El Valle,-74.81060,10.96670
Institucion Educativa Distrital De Formacion Integral,-74.77980,10.94160
