colegio,lon,lat
Institucion Educativa Distrital La Salle,-74.8115,10.9682
Instituto Distrital Tecnico Meira Del Mar,-74.8049,10.9577
Institucion Educativa Distrital Antonio Jose De Sucre,-74.7889,10.9979
Institucion Educativa Distrital La Milagrosa Fe Y Alegria,-74.8265,10.9466
Institucion Educativa Distrital Del Desarrollo Humano Y Cultural Del Caribe,-74.7925,11.0062
Institucion Educativa Distrital Sarid Arteta De Vasquez,-74.7882,10.9802
Institucion Distrital De Formacion Tecnica Diversificada Alberto Assa,-74.8319,10.9483
Institucion Educativa Distrital Etnoeducativo Paulino Salgado  Batata,-74.82,10.9694
Institucion Educativa Distrital Las Americas,-74.8125,10.9447
Institucion Educativa Distrital Brisas Del Rio,-74.7665,10.958
Institucion Educativa Distrital La Merced,-74.7998,10.977
Institucion Educativa Distrital Inmaculada Concepcion,-74.8822,10.9994
Institucion Educativa Distrital Luz Del Caribe,-74.78,10.9462
Institucion Educativa Distrital El Silencio,-74.8084,10.9909
Institucion Educativa Distrital Camilo Torres Tenorio,-74.795,10.9789
Institucion Educativa Distrital El Paraiso,-74.8054,11.0157
Institucion Educativa Distrital Comunitario Octavio Paz,-74.7964,10.9299
Colegio Comunitario Distrital Villa Del Carmen,-74.7921,10.9349
Institucion Educativa Distrital Costa Caribe,-74.8308,10.9325
Institucion Educativa Distrital El Campito,-74.7936,10.9487
Colegio Distrital Juan Jose Rondon,-74.8082,10.9743
Institucion Educativa Distrital Jorge Robledo Ortiz,-74.8217,10.925
Institucion Educativa Distrital Tierra Santa,-74.8143,10.9498
Institucion Educativa Distrital Evaristo Sourdis,-74.8207,10.9569
Instituto Tecnico De Comercio Barranquilla,-74.7874,10.983
Institucion Educativa Distrital Comunitaria Metropolitana,-74.805,10.9504
Institucion Educativa Distrital La Presentacion,-74.8497,10.9738
Institucion Educativa Distrital Jose Antonio Galan,-74.7852,10.9645
Institucion Educativa El Corazon Del Santuario,-74.8051,10.9442
Centro De Educacion Basica Y Media 103,-74.8021,10.9541
Institucion Educativa Distrital La Esperanza Del Sur,-74.8254,10.9532
Institucion Educativa Distrital El Valle,-74.8106,10.9667
Institucion Educativa Distrital De Formacion Integral,-74.7798,10.9416
Institucion Educativa Distrital Del Caribe,-74.8308,10.9325
Institucion Educativa Distrital Santo Domingo De Guzman,-74.7999,10.9321
Institucion Educativa Distrital Para El Desarrollo Del Talento Humano,-74.7806,10.9669
Centro De Educacion Basica Y Media 132,-74.7886,10.9368
Institucion Educativa Distrital Arte Y Tecnologia Esther Forero,-74.8149,10.9781
Centro De Educacion Basica 201,-74.856,10.9994
Colegio Distrital El Canahuate,-74.8642,11.0355
Institucion Educativa Distrital Las Granjas,-74.825,10.9245
Institucion Educativa Distrital Alfredo Correa De Andreis,-74.8031,10.9405
Institucion Educativa Distrital Para El Desarrollo Humano Maria Cano,-74.7913,10.9488
Institucion Educativa Distrital La Concepcion,-74.7991,11.0123
Institucion Educativa Distrital Esther De Pelaez,-74.7873,10.9932
Colegio Distrital Olaya,-74.8085337,10.9776
Institucion Educativa Distrital La Union,-74.7901,10.9522
Institucion Educativa Distrital Eduardo Santos,-74.8635,11.0324
Institucion Educativa Distrital Nuestra Senora De Las Nieves,-74.7768,10.9498
Institucion Educativa Distrital David Sanchez Juliao,-74.8075,10.9648
Institucion Educativa Distrital Nuevo Bosque,-74.7647,10.945
Institucion Educativa Distrtal Ciudadela,-74.8078,10.9312
Institucion Distrital De Educacion Arte Y Cultura Alejandro Obregon,-74.7888,10.9946
Institucion Educativa Distrital Las Mercedes Colegio San Pablo,-74.8359,11.0147
Institucion Educativa Distrital Madre Marcelina,-74.7889,10.9812
Secretaria De Educacion Distrital - Unale,-74.802,10.9575
Secretaria De Educacion Distrital De Barranquilla,-74.779,10.9814
